Date_YMD,AN_Confirmed,AN_Deceased,AN_Recovered,AP_Confirmed,AP_Deceased,AP_Recovered,AR_Confirmed,AR_Deceased,AR_Recovered,AS_Confirmed,AS_Deceased,AS_Recovered,BR_Confirmed,BR_Deceased,BR_Recovered,CH_Confirmed,CH_Deceased,CH_Recovered,CT_Confirmed,CT_Deceased,CT_Recovered,DL_Confirmed,DL_Deceased,DL_Recovered,DN_Confirmed,DN_Deceased,DN_Recovered,GA_Confirmed,GA_Deceased,GA_Recovered,GJ_Confirmed,GJ_Deceased,GJ_Recovered,HP_Confirmed,HP_Deceased,HP_Recovered,HR_Confirmed,HR_Deceased,HR_Recovered,JH_Confirmed,JH_Deceased,JH_Recovered,JK_Confirmed,JK_Deceased,JK_Recovered,KA_Confirmed,KA_Deceased,KA_Recovered,KL_Confirmed,KL_Deceased,KL_Recovered,LA_Confirmed,LA_Deceased,LA_Recovered,LD_Confirmed,LD_Deceased,LD_Recovered,MH_Confirmed,MH_Deceased,MH_Recovered,ML_Confirmed,ML_Deceased,ML_Recovered,MN_Confirmed,MN_Deceased,MN_Recovered,MP_Confirmed,MP_Deceased,MP_Recovered,MZ_Confirmed,MZ_Deceased,MZ_Recovered,NL_Confirmed,NL_Deceased,NL_Recovered,OR_Confirmed,OR_Deceased,OR_Recovered,PB_Confirmed,PB_Deceased,PB_Recovered,PY_Confirmed,PY_Deceased,PY_Recovered,RJ_Confirmed,RJ_Deceased,RJ_Recovered,SK_Confirmed,SK_Deceased,SK_Recovered,TG_Confirmed,TG_Deceased,TG_Recovered,TN_Confirmed,TN_Deceased,TN_Recovered,TR_Confirmed,TR_Deceased,TR_Recovered,TT_Confirmed,TT_Deceased,TT_Recovered,UP_Confirmed,UP_Deceased,UP_Recovered,UT_Confirmed,UT_Deceased,UT_Recovered,WB_Confirmed,WB_Deceased,WB_Recovered
01/01/2021,1,0,4,326,0,350,0,0,2,40,4,82,463,3,404,51,1,64,932,4,1019,585,21,717,0,0,0,69,0,78,734,3,907,193,2,412,286,6,533,128,0,105,256,1,248,877,6,1084,4991,23,5111,59,0,9,0,0,0,3524,59,4279,0,0,0,18,1,64,780,12,900,12,0,2,2,0,14,245,3,301,248,8,408,32,0,50,609,4,942,12,1,5,461,3,617,921,13,1029,4,0,28,20159,237,23838,1786,27,2082,361,6,492,1153,26,1496
01/01/2022,5,0,2,176,0,103,0,0,3,150,1,102,281,0,20,70,0,4,279,1,30,2716,1,765,3,0,0,310,0,18,1069,1,103,83,1,74,552,0,62,1007,0,105,169,2,107,1033,5,354,2435,241,2704,23,0,4,1,0,1,9170,7,1445,12,0,6,19,0,11,124,0,34,84,2,102,0,0,3,298,2,159,316,0,42,22,0,13,301,0,17,7,0,7,317,2,232,1489,8,611,22,0,10,27553,284,9249,380,0,31,118,1,52,4512,9,1913
01/01/2023,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,1,0,1,0,0,1,11,0,8,0,0,0,1,0,3,3,0,3,0,0,3,4,0,3,0,0,0,1,0,5,34,0,50,52,1,58,0,0,3,0,0,0,16,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,9,5,0,0,11,0,0,0,0,0,7,0,9,14,0,10,0,0,0,173,2,207,2,0,3,3,1,0,2,0,5
01/02/2021,0,0,4,64,1,99,0,0,3,13,1,70,75,2,118,32,0,21,322,5,520,121,3,214,0,0,1,60,0,86,298,1,406,25,0,37,92,4,122,42,1,81,44,0,83,388,3,470,3459,17,5215,4,0,3,12,0,7,1948,27,3289,0,0,6,4,0,9,151,2,260,0,0,3,5,0,4,79,0,136,194,1,220,28,3,25,96,0,309,1,0,4,118,2,264,502,7,517,1,0,3,8579,94,13443,171,4,389,51,4,139,179,6,306
01/02/2022,32,0,62,6213,5,10795,246,1,583,1486,20,2632,824,2,1180,156,3,537,3241,16,5600,2683,27,4837,30,0,25,910,6,1794,8338,38,16629,1403,7,1005,2894,15,5720,622,2,1506,2751,9,6556,14366,58,60914,51887,1205,40383,165,1,147,37,0,46,14372,94,30093,293,3,371,327,4,346,6243,6,10552,2573,6,2318,120,0,73,3086,17,7767,1597,39,4247,640,4,1069,6212,20,10173,98,3,174,2850,2,4391,16096,35,25592,90,8,798,161386,1733,281109,4651,26,12263,1840,18,4383,2014,33,5548
01/02/2023,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,3,0,4,0,0,0,2,0,2,0,0,0,0,0,0,35,0,48,39,0,34,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,6,6,0,10,1,0,1,0,0,0,2,0,4,4,0,10,0,0,0,128,1,147,3,1,1,0,0,2,3,0,5
01/03/2021,0,0,0,58,0,51,1,0,0,33,1,16,22,0,51,69,1,19,256,7,143,175,1,105,0,0,0,40,1,62,427,1,360,132,1,15,166,2,151,37,0,46,63,1,56,349,5,324,1938,13,3475,1,0,8,15,0,7,6397,30,5754,1,0,1,1,0,4,336,1,219,0,0,3,0,0,0,86,0,76,633,18,394,9,1,16,119,0,123,0,0,1,116,0,165,474,5,482,10,0,3,12270,92,12472,81,3,104,27,0,26,198,0,212
01/03/2022,2,0,3,141,2,450,12,0,47,12,0,20,33,0,75,13,0,23,79,0,189,344,4,416,0,0,1,21,1,54,162,2,333,53,1,264,273,1,468,66,0,83,55,0,123,202,7,971,2846,168,4325,29,0,35,0,0,3,675,5,1225,20,0,38,20,0,39,285,2,611,703,1,1161,3,1,18,168,8,314,48,6,108,6,0,24,318,0,407,4,0,8,152,0,401,348,2,1025,1,0,1,7554,223,14123,267,10,658,47,0,38,146,2,164
01/03/2023,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,10,0,9,0,0,0,0,0,2,13,0,5,0,0,0,4,0,4,0,0,0,2,0,0,74,0,24,67,0,42,0,0,0,0,0,0,32,0,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,4,10,0,4,3,0,0,0,0,0,21,0,23,16,0,10,0,0,0,268,0,164,3,0,2,0,0,0,3,0,4
01/04/2020,0,0,0,67,0,1,0,0,0,15,0,0,3,0,0,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,7,0,1,9,0,1,24,0,2,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,1,0,1,4,0,0,2,0,0,27,0,0,0,0,0,30,3,0,110,0,0,0,0,0,424,9,16,13,2,0,0,0,0,0,0,0
