State,Total Doses Administered,Total 2021,vaccination_pct
AN,991264,401000,247.19800498753116
AP,110957429,52849000,209.95180419686275
AR,1924584,1537000,125.21691607026675
AS,50335778,35155000,143.18241501920068
BR,157292508,123695000,127.1615732244634
CG,49167939,29607000,166.06862904042964
CH,2291777,1212000,189.09051155115512
DL,37409264,20703000,180.69489445974014
DN,1580060,1108000,142.6046931407942
GA,2874477,1561000,184.1433055733504
GJ,128105428,70075000,182.81188440956117
HP,15325484,7406000,206.933351336754
HR,45546778,29604000,153.85345899202812
JH,43875945,38637000,113.55939902166317
JK,24782265,13440000,184.39185267857144
KA,122152256,66986000,182.35490400979307
KL,57511397,35537000,161.83526183977264
LA,567133,298000,190.31308724832215
LD,145313,68000,213.69558823529414
MH,177976799,124762000,142.6530506083583
ML,2625986,3295000,79.69608497723823
MN,3269105,3172000,103.06131778058007
MP,133940192,84860000,157.83666273862832
MZ,1793298,1219000,147.11222313371616
NL,1739837,2198000,79.15545950864423
OR,81545960,45793000,178.07516432642544
PB,47050905,30404000,154.7523516642547
PY,2274059,1584000,143.5643308080808
RJ,115721424,79572000,145.4298295882974
SK,1360477,678000,200.6603244837758
TG,77625266,37771000,205.51551719573217
TN,127533457,76479000,166.75617751278128
TR,5918997,4081000,145.03790737564321
UP,392010834,231704000,169.18604512654076
UT,20143654,11439000,176.09628464026576
WB,156100280,98285000,158.82411354733682
