Updated On,State,Total Doses Administered
2021-01-16,MP,9435
2021-01-16,LD,16
2021-01-16,MH,5726
2021-01-16,MZ,105
2021-01-16,UT,511
2021-01-16,GA,50
2021-01-16,ML,102
2021-01-16,NL,94
2021-01-16,UP,2212
2021-01-16,PB,336
2021-01-16,MN,181
2021-01-16,JH,344
2021-01-16,AS,401
2021-01-16,CH,120
2021-01-16,AN,23
2021-01-16,JK,377
2021-01-16,SK,7
2021-01-16,AP,4216
2021-01-16,KA,3810
2021-01-16,HR,1864
2021-01-16,LA,9
2021-01-16,HP,202
2021-01-16,DN,23
2021-01-16,OR,3420
2021-01-16,TG,317
2021-01-16,WB,1917
2021-01-16,AR,81
2021-01-16,TR,107
2021-01-16,DL,892
2021-01-16,KL,1681
2021-01-16,PY,92
2021-01-16,BR,2967
2021-01-16,GJ,1146
2021-01-16,RJ,3285
2021-01-16,CG,1040
2021-01-16,TN,1167
2021-01-17,LA,9
2021-01-17,UP,2224
2021-01-17,KA,4506
2021-01-17,CH,120
2021-01-17,GA,50
2021-01-17,GJ,2313
2021-01-17,PY,92
2021-01-17,CG,1040
2021-01-17,DN,23
2021-01-17,TN,1745
2021-01-17,JH,344
2021-01-17,LD,17
2021-01-17,MH,6521
2021-01-17,KL,1836
2021-01-17,HR,2069
2021-01-17,MN,192
2021-01-17,ML,102
2021-01-17,BR,3700
2021-01-17,AR,178
2021-01-17,DL,1005
2021-01-17,TG,437
2021-01-17,PB,338
2021-01-17,NL,94
2021-01-17,TR,107
2021-01-17,MP,9435
2021-01-17,AP,9251
2021-01-17,WB,2085
2021-01-17,AN,23
2021-01-17,MZ,105
2021-01-17,OR,3536
2021-01-17,JK,421
2021-01-17,RJ,3455
2021-01-17,AS,466
2021-01-17,HP,202
2021-01-17,UT,556
2021-01-17,SK,7
2021-01-18,JH,749
2021-01-18,ML,58
2021-01-18,MZ,98
2021-01-18,CG,1656
2021-01-18,PB,678
2021-01-18,PY,128
2021-01-18,HP,352
2021-01-18,KL,2566
2021-01-18,TN,2861
2021-01-18,CH,158
2021-01-18,AS,722
2021-01-18,SK,7
2021-01-18,MH,6151
2021-01-18,NL,315
2021-01-18,TG,2463
2021-01-18,UT,517
