State,WeekStart,New_Confirmed_wk,New_Deceased_wk
AN,2020-03-09,0,0
AN,2020-03-16,0,0
AN,2020-03-23,9,0
AN,2020-03-30,1,0
AN,2020-04-06,1,0
AN,2020-04-13,4,0
AN,2020-04-20,18,0
AN,2020-04-27,0,0
AN,2020-05-04,0,0
AN,2020-05-11,0,0
AN,2020-05-18,0,0
AN,2020-05-25,0,0
AN,2020-06-01,0,0
AN,2020-06-08,7,0
AN,2020-06-15,8,0
AN,2020-06-22,35,0
AN,2020-06-29,42,0
AN,2020-07-06,38,0
AN,2020-07-13,36,0
AN,2020-07-20,115,0
AN,2020-07-27,416,8
AN,2020-08-03,756,12
AN,2020-08-10,909,8
AN,2020-08-17,461,5
AN,2020-08-24,244,12
AN,2020-08-31,228,5
AN,2020-09-07,214,1
AN,2020-09-14,105,1
AN,2020-09-21,143,1
AN,2020-09-28,90,0
AN,2020-10-05,121,2
AN,2020-10-12,103,1
AN,2020-10-19,137,2
AN,2020-10-26,95,2
AN,2020-11-02,110,0
AN,2020-11-09,86,1
AN,2020-11-16,105,0
AN,2020-11-23,63,0
AN,2020-11-30,54,0
AN,2020-12-07,60,0
AN,2020-12-14,63,0
AN,2020-12-21,43,1
AN,2020-12-28,24,0
AN,2021-01-04,12,0
AN,2021-01-11,23,0
AN,2021-01-18,10,0
AN,2021-01-25,1,0
AN,2021-02-01,7,0
AN,2021-02-08,8,0
AN,2021-02-15,5,0
AN,2021-02-22,6,0
AN,2021-03-01,4,0
AN,2021-03-08,7,0
AN,2021-03-15,8,0
AN,2021-03-22,7,0
AN,2021-03-29,63,0
AN,2021-04-05,81,0
AN,2021-04-12,200,2
AN,2021-04-19,275,2
AN,2021-04-26,419,3
AN,2021-05-03,283,7
AN,2021-05-10,236,12
AN,2021-05-17,241,15
AN,2021-05-24,140,11
AN,2021-05-31,135,8
AN,2021-06-07,142,4
AN,2021-06-14,145,1
AN,2021-06-21,49,0
AN,2021-06-28,27,1
AN,2021-07-05,10,1
AN,2021-07-12,18,0
AN,2021-07-19,19,0
AN,2021-07-26,10,0
AN,2021-08-02,7,0
AN,2021-08-09,2,0
AN,2021-08-16,9,0
AN,2021-08-23,7,0
AN,2021-08-30,8,0
AN,2021-09-06,10,0
AN,2021-09-13,18,0
AN,2021-09-20,18,0
AN,2021-09-27,5,0
AN,2021-10-04,10,0
AN,2021-10-11,9,0
AN,2021-10-18,6,0
AN,2021-10-25,3,0
AN,2021-11-01,13,0
AN,2021-11-08,10,0
AN,2021-11-15,2,0
AN,2021-11-22,5,0
AN,2021-11-29,7,0
AN,2021-12-06,10,0
AN,2021-12-13,4,0
AN,2021-12-20,12,0
AN,2021-12-27,29,0
AN,2022-01-03,407,0
AN,2022-01-10,496,0
AN,2022-01-17,720,0
AN,2022-01-24,411,0
AN,2022-01-31,138,0
AN,2022-02-07,66,0
AN,2022-02-14,24,0
AN,2022-02-21,12,0
AN,2022-02-28,7,0
AN,2022-03-07,1,0
AN,2022-03-14,4,0
AN,2022-03-21,3,0
AN,2022-03-28,1,0
AN,2022-04-04,1,0
AN,2022-04-11,0,0
AN,2022-04-18,1,0
AN,2022-04-25,0,0
AN,2022-05-02,3,0
AN,2022-05-09,1,0
AN,2022-05-16,0,0
AN,2022-05-23,6,0
AN,2022-05-30,4,0
AN,2022-06-06,7,0
AN,2022-06-13,35,0
AN,2022-06-20,40,0
AN,2022-06-27,52,0
AN,2022-07-04,56,0
AN,2022-07-11,81,0
AN,2022-07-18,65,0
AN,2022-07-25,59,0
AN,2022-08-01,46,0
AN,2022-08-08,24,0
AN,2022-08-15,54,0
AN,2022-08-22,34,0
AN,2022-08-29,11,0
AN,2022-09-05,12,0
AN,2022-09-12,11,0
AN,2022-09-19,28,0
AN,2022-09-26,26,0
AN,2022-10-03,28,0
AN,2022-10-10,1,0
AN,2022-10-24,7,0
AN,2022-10-31,3,0
AN,2022-11-07,1,0
AN,2022-11-14,0,0
AN,2022-11-21,0,0
AN,2022-11-28,0,0
AN,2022-12-05,0,0
AN,2022-12-12,0,0
AN,2022-12-19,0,0
AN,2022-12-26,6,0
AN,2023-01-02,0,0
AN,2023-01-09,0,0
AN,2023-01-16,0,0
AN,2023-01-23,0,0
AN,2023-01-30,4,0
AN,2023-02-06,0,0
AN,2023-02-13,0,0
AN,2023-02-20,0,0
AN,2023-02-27,0,0
AN,2023-03-06,0,0
AN,2023-03-13,0,0
AN,2023-03-20,0,0
AN,2023-03-27,0,0
AN,2023-04-03,0,0
AN,2023-04-10,13,0
AN,2023-04-17,1,0
AN,2023-04-24,1,0
AN,2023-05-01,0,0
AN,2023-05-08,0,0
AN,2023-05-15,0,0
AN,2023-05-22,0,0
AN,2023-05-29,0,0
AN,2023-06-05,0,0
AN,2023-06-12,0,0
AN,2023-06-19,0,0
AN,2023-06-26,0,0
AN,2023-07-03,0,0
AN,2023-07-10,0,0
AN,2023-07-17,0,0
AN,2023-07-24,0,0
AN,2023-07-31,0,0
AN,2023-08-07,0,0
AN,2023-08-14,0,0
AN,2023-08-21,0,0
AP,2020-03-09,1,0
AP,2020-03-16,5,0
AP,2020-03-23,15,0
AP,2020-03-30,235,1
AP,2020-04-06,164,6
AP,2020-04-13,227,10
AP,2020-04-20,450,14
