State,Lag_days,Correlation,p_value
Andaman and Nicobar Islands,0,0.038062703257238685,0.15684580551516739
Andaman and Nicobar Islands,7,0.059299821308811784,0.02771951138783802
Andaman and Nicobar Islands,14,-0.002655932465319327,0.9217324060209459
Andaman and Nicobar Islands,21,-0.06038500300336813,0.025737357078124485
Andaman and Nicobar Islands,28,-0.02325461936996509,0.39201552697929226
Andhra Pradesh,0,-0.05089194884897352,0.05829263493749396
Andhra Pradesh,7,-0.012313676784121038,0.6478840339630317
Andhra Pradesh,14,-0.025763707079204806,0.3404678142428347
Andhra Pradesh,21,-0.030123510631569622,0.2662392158826398
Andhra Pradesh,28,-0.05932559623330011,0.028865648742144655
Arunachal Pradesh,0,0.05683198521247243,0.03444397329382735
Arunachal Pradesh,7,0.043515351426795516,0.10638636741197503
Arunachal Pradesh,14,0.02329649376929367,0.38872612235966075
Arunachal Pradesh,21,-0.024191422752305194,0.37198671965781643
Arunachal Pradesh,28,-0.06831036367538705,0.011835774245423696
Assam,0,-0.01939424455042719,0.47079609384117643
Assam,7,-0.038779054631176424,0.1502161284767737
Assam,14,-0.050771162493532175,0.06018960712046109
Assam,21,-0.04331728963987451,0.1097997038587769
Assam,28,-0.016535467514233432,0.5427861283162728
Bihar,0,0.028715242705575995,0.2855611284988748
Bihar,7,0.041691847796228414,0.12188041342853867
Bihar,14,0.032657222393464136,0.22688617174692574
Bihar,21,0.012186264336829001,0.6529471790612931
Bihar,28,-0.017046611687850894,0.5303832177174435
Chandigarh,0,0.04810951927544101,0.07347900965555301
Chandigarh,7,0.0573523495688906,0.033269063509804506
Chandigarh,14,0.04056008226714529,0.133338308819914
Chandigarh,21,0.05231908491238965,0.05338179600568926
Chandigarh,28,0.008836617392344294,0.7450107168510173
Chhattisgarh,0,0.2656494328342962,8.415240586611364e-24
Chhattisgarh,7,0.16289688574740468,1.1858612611376535e-09
Chhattisgarh,14,0.0760456627760712,0.004843591785391516
Chhattisgarh,21,0.013149323103661644,0.6275263853332674
Chhattisgarh,28,-0.135916576571014,5.019978214962293e-07
Dadra and Nagar Haveli and Daman and Diu,0,-0.004055290872401054,0.8801458013739716
Dadra and Nagar Haveli and Daman and Diu,7,0.04123430255696593,0.12603218116891382
Dadra and Nagar Haveli and Daman and Diu,14,0.022651648865133107,0.40199392047741594
Dadra and Nagar Haveli and Daman and Diu,21,-0.033625067374319736,0.21458142501766098
Dadra and Nagar Haveli and Daman and Diu,28,-0.05042627048509839,0.06330454972641765
Delhi,0,0.031429136127969826,0.2424493806353148
Delhi,7,0.03910277204188113,0.1468388732832926
Delhi,14,-0.0032216440421286643,0.9051332481716903
Delhi,21,-0.007050169729478852,0.7947527019160064
Delhi,28,-0.02787830878800907,0.30478802398592
Goa,0,0.02491379401953698,0.3541923552804703
Goa,7,0.04433427251748173,0.0999560730338395
Goa,14,0.009395508879728228,0.7281571138368302
Goa,21,-0.016706502179103022,0.5375724418978788
Goa,28,-0.071050344182463,0.008839158521359658
Gujarat,0,0.023943977634644488,0.3732445433805049
Gujarat,7,0.025798643750378526,0.338581116504553
Gujarat,14,0.03041793069883293,0.2603694412058094
Gujarat,21,0.01999261584424212,0.46065332367526685
Gujarat,28,-0.0036678175480325892,0.8926204918061653
Haryana,0,0.05193574632676089,0.0533128224121324
Haryana,7,0.06144670427551825,0.022544023625162706
Haryana,14,0.08402894810655577,0.0018456200128653235
Haryana,21,0.07662491932338548,0.004632892753196647
Haryana,28,0.04881118212440487,0.07225700074412036
