date,State,First Dose Administered,Second Dose Administered,Total Doses Administered,State_Code,Confirmed,Deceased,Recovered,YMD
2021-01-16,Madhya Pradesh,9435,0,9435,MP,365,5,793,
2021-01-16,Lakshadweep,16,0,16,LD,0,0,0,
2021-01-16,Maharashtra,5726,0,5726,MH,2910,52,3039,
2021-01-16,Mizoram,105,0,105,MZ,4,0,16,
2021-01-16,Uttarakhand,511,0,511,UT,226,4,272,
2021-01-16,Goa,50,0,50,GA,83,3,69,
2021-01-16,Meghalaya,102,0,102,ML,2,0,15,
2021-01-16,Nagaland,94,0,94,NL,15,0,2,
2021-01-16,Uttar Pradesh,2212,0,2212,UP,523,12,930,
2021-01-16,Punjab,336,0,336,PB,175,14,322,
2021-01-16,Manipur,181,0,181,MN,24,1,79,
2021-01-16,Jharkhand,344,0,344,JH,119,1,158,
2021-01-16,Assam,401,0,401,AS,32,4,61,
2021-01-16,Chandigarh,120,0,120,CH,39,0,67,
2021-01-16,Andaman and Nicobar Islands,23,0,23,AN,3,0,0,
2021-01-16,India,48276,0,48276,TT,15050,181,17202,
2021-01-16,Jammu and Kashmir,377,0,377,JK,109,1,256,
2021-01-16,Sikkim,7,0,7,SK,5,0,10,
2021-01-16,Andhra Pradesh,4216,0,4216,AP,114,0,326,
2021-01-16,Karnataka,3810,0,3810,KA,584,4,676,
2021-01-16,Haryana,1864,0,1864,HR,167,4,218,
2021-01-16,Ladakh,9,0,9,LA,1,0,12,
2021-01-16,Himachal Pradesh,202,0,202,HP,71,1,83,
2021-01-16,Dadra and Nagar Haveli and Daman and Diu,23,0,23,DN,0,0,0,
2021-01-16,Odisha,3420,0,3420,OR,178,1,230,
2021-01-16,Telangana,317,0,317,TG,249,1,417,
2021-01-16,West Bengal,1917,0,1917,WB,609,15,666,
2021-01-16,Arunachal Pradesh,81,0,81,AR,6,0,8,
2021-01-16,Tripura,107,0,107,TR,4,1,7,
2021-01-16,Delhi,892,0,892,DL,299,6,397,
2021-01-16,Kerala,1681,0,1681,KL,5960,27,5011,
2021-01-16,Puducherry,92,0,92,PY,16,2,22,
2021-01-16,Bihar,2967,0,2967,BR,239,4,328,
2021-01-16,Gujarat,1146,0,1146,GJ,505,3,764,
2021-01-16,Rajasthan,3285,0,3285,RJ,238,2,558,
2021-01-16,Chhattisgarh,1040,0,1040,CT,566,7,615,
2021-01-16,Tamil Nadu,1167,0,1167,TN,610,6,775,
2021-01-17,Ladakh,9,0,9,LA,7,0,9,
2021-01-17,Uttar Pradesh,2224,0,2224,UP,391,6,666,
2021-01-17,Karnataka,4506,0,4506,KA,745,4,855,
2021-01-17,Chandigarh,120,0,120,CH,34,0,43,
2021-01-17,Goa,50,0,50,GA,60,0,59,
2021-01-17,Gujarat,2313,0,2313,GJ,518,2,704,
2021-01-17,Puducherry,92,0,92,PY,35,0,37,
2021-01-17,Chhattisgarh,1040,0,1040,CT,323,7,351,
2021-01-17,Dadra and Nagar Haveli and Daman and Diu,23,0,23,DN,1,0,0,
2021-01-17,Tamil Nadu,1745,0,1745,TN,589,7,770,
2021-01-17,Jharkhand,344,0,344,JH,87,0,111,
2021-01-17,Lakshadweep,17,0,17,LD,0,0,0,
2021-01-17,Maharashtra,6521,0,6521,MH,3081,50,2342,
2021-01-17,Kerala,1836,0,1836,KL,5005,21,4408,
2021-01-17,Haryana,2069,0,2069,HR,178,2,211,
2021-01-17,Manipur,192,0,192,MN,21,0,58,
2021-01-17,Meghalaya,102,0,102,ML,12,0,12,
2021-01-17,Bihar,3700,0,3700,BR,211,4,383,
2021-01-17,Arunachal Pradesh,178,0,178,AR,3,0,7,
2021-01-17,Delhi,1005,0,1005,DL,246,8,385,
2021-01-17,Telangana,437,0,437,TG,299,2,379,
2021-01-17,Punjab,338,0,338,PB,239,5,195,
2021-01-17,Nagaland,94,0,94,NL,4,0,4,
2021-01-17,Tripura,107,0,107,TR,0,0,0,
2021-01-17,Madhya Pradesh,9435,0,9435,MP,355,2,478,
2021-01-17,Andhra Pradesh,9251,0,9251,AP,161,1,251,
2021-01-17,West Bengal,2085,0,2085,WB,565,12,621,
2021-01-17,Andaman and Nicobar Islands,23,0,23,AN,1,0,1,
2021-01-17,Mizoram,105,0,105,MZ,8,0,7,
2021-01-17,Odisha,3536,0,3536,OR,183,1,228,
2021-01-17,Jammu and Kashmir,421,0,421,JK,126,0,182,
2021-01-17,Rajasthan,3455,0,3455,RJ,261,1,496,
2021-01-17,Assam,466,0,466,AS,22,3,30,
2021-01-17,Himachal Pradesh,202,0,202,HP,70,2,126,
2021-01-17,Uttarakhand,556,0,556,UT,112,5,98,
2021-01-17,India,58604,0,58604,TT,13962,145,14513,
2021-01-17,Sikkim,7,0,7,SK,9,0,6,
2021-01-18,Jharkhand,749,0,749,JH,100,4,131,
2021-01-18,Meghalaya,58,0,58,ML,2,0,2,
2021-01-18,Mizoram,98,0,98,MZ,1,0,5,
2021-01-18,Chhattisgarh,1656,0,1656,CT,471,7,1301,
2021-01-18,India,99449,0,99449,TT,9987,137,17127,
2021-01-18,Punjab,678,0,678,PB,124,5,278,
2021-01-18,Puducherry,128,0,128,PY,23,1,20,
2021-01-18,Himachal Pradesh,352,0,352,HP,35,1,103,
2021-01-18,Kerala,2566,0,2566,KL,3346,17,3921,
2021-01-18,Tamil Nadu,2861,0,2861,TN,551,8,758,
2021-01-18,Chandigarh,158,0,158,CH,27,0,53,
2021-01-18,Assam,722,0,722,AS,33,2,139,
2021-01-18,Sikkim,7,0,7,SK,0,0,9,
2021-01-18,Maharashtra,6151,0,6151,MH,1924,35,3854,
2021-01-18,Nagaland,315,0,315,NL,3,0,4,
2021-01-18,Telangana,2463,0,2463,TG,206,2,346,
2021-01-18,Uttarakhand,517,0,517,UT,120,6,330,
2021-01-18,Arunachal Pradesh,560,0,560,AR,1,0,2,
2021-01-18,Lakshadweep,237,0,237,LD,14,0,0,
2021-01-18,Karnataka,14755,0,14755,KA,435,9,973,
2021-01-18,Manipur,169,0,169,MN,11,0,58,
2021-01-18,Goa,47,0,47,GA,53,0,66,
2021-01-18,West Bengal,5060,0,5060,WB,389,10,569,
2021-01-18,Andhra Pradesh,12234,0,12234,AP,81,1,263,
2021-01-18,Madhya Pradesh,15934,0,15934,MP,304,3,540,
2021-01-18,Tripura,230,0,230,TR,3,0,5,
2021-01-18,Uttar Pradesh,1532,0,1532,UP,376,4,622,
2021-01-18,Odisha,7591,0,7591,OR,134,1,255,
2021-01-18,Andaman and Nicobar Islands,42,0,42,AN,5,0,1,
2021-01-18,Rajasthan,4037,0,4037,RJ,213,3,626,
2021-01-18,Ladakh,64,0,64,LA,1,0,11,
2021-01-18,Delhi,1366,0,1366,DL,161,8,362,
2021-01-18,Dadra and Nagar Haveli and Daman and Diu,15,0,15,DN,0,0,2,
2021-01-18,Jammu and Kashmir,672,0,672,JK,82,1,194,
2021-01-18,Bihar,7883,0,7883,BR,144,3,344,
2021-01-18,Gujarat,2182,0,2182,GJ,495,2,700,
2021-01-18,Haryana,5360,0,5360,HR,119,4,280,
2021-01-19,Mizoram,259,0,259,MZ,6,0,11,
2021-01-19,Lakshadweep,622,0,622,LD,7,0,0,
2021-01-19,Puducherry,249,0,249,PY,37,0,26,
2021-01-19,Madhya Pradesh,18409,0,18409,MP,304,7,725,
2021-01-19,Chhattisgarh,2014,0,2014,CT,383,10,436,
2021-01-19,Uttar Pradesh,1568,0,1568,UP,334,4,789,
2021-01-19,Bihar,15546,0,15546,BR,189,1,595,
2021-01-19,Meghalaya,170,0,170,ML,3,0,18,
2021-01-19,India,195525,0,195525,TT,13787,162,17229,
2021-01-19,Odisha,14807,0,14807,OR,122,1,250,
2021-01-19,West Bengal,12364,0,12364,WB,412,11,513,
2021-01-19,Jharkhand,1455,0,1455,JH,101,3,141,
2021-01-19,Nagaland,649,0,649,NL,5,0,7,
2021-01-19,Manipur,267,0,267,MN,33,1,93,
2021-01-19,Karnataka,25142,0,25142,KA,645,6,807,
2021-01-19,Telangana,11169,0,11169,TG,256,2,298,
2021-01-19,Maharashtra,13699,0,13699,MH,2294,50,4516,
2021-01-19,Dadra and Nagar Haveli and Daman and Diu,31,0,31,DN,0,0,1,
2021-01-19,Jammu and Kashmir,1369,0,1369,JK,113,1,120,
2021-01-19,Ladakh,64,0,64,LA,5,1,6,
2021-01-19,Haryana,11728,0,11728,HR,153,4,241,
2021-01-19,Kerala,5355,0,5355,KL,6186,26,4296,
2021-01-19,Gujarat,4842,0,4842,GJ,485,2,709,
2021-01-19,Uttarakhand,1141,0,1141,UT,116,2,251,
2021-01-19,Andaman and Nicobar Islands,89,0,89,AN,1,0,0,
2021-01-19,Punjab,1529,0,1529,PB,208,7,247,
2021-01-19,Himachal Pradesh,448,0,448,HP,41,0,81,
2021-01-19,Goa,72,0,72,GA,112,0,115,
2021-01-19,Arunachal Pradesh,574,0,574,AR,3,0,8,
2021-01-19,Sikkim,38,0,38,SK,14,1,9,
2021-01-19,Chandigarh,165,0,165,CH,31,0,49,
2021-01-19,Rajasthan,13022,0,13022,RJ,209,2,537,
2021-01-19,Tripura,681,0,681,TR,3,0,3,
2021-01-19,Andhra Pradesh,25539,0,25539,AP,179,1,231,
2021-01-19,Delhi,3041,0,3041,DL,231,10,222,
2021-01-19,Tamil Nadu,6154,0,6154,TN,543,9,772,
2021-01-19,Assam,1254,0,1254,AS,23,0,106,
2021-01-20,Delhi,3041,0,3041,DL,228,10,405,
2021-01-20,Arunachal Pradesh,601,0,601,AR,0,0,6,
2021-01-20,West Bengal,14624,0,14624,WB,409,6,509,
2021-01-20,Chandigarh,165,0,165,CH,28,0,42,
2021-01-20,Bihar,16183,0,16183,BR,209,3,257,
2021-01-20,Uttar Pradesh,1568,0,1568,UP,390,7,682,
2021-01-20,India,251280,0,251280,TT,15279,152,20071,
2021-01-20,Puducherry,249,0,249,PY,31,0,32,
2021-01-20,Sikkim,62,0,62,SK,5,0,1,
2021-01-20,Jammu and Kashmir,1369,0,1369,JK,109,0,113,
2021-01-20,Tripura,687,0,687,TR,1,0,2,
2021-01-20,Chhattisgarh,3351,0,3351,CT,594,10,718,
2021-01-20,Andaman and Nicobar Islands,124,0,124,AN,2,0,3,
2021-01-20,Meghalaya,189,0,189,ML,7,0,7,
2021-01-20,Mizoram,291,0,291,MZ,5,0,17,
2021-01-20,Manipur,426,0,426,MN,19,0,10,
2021-01-20,Assam,1254,0,1254,AS,32,2,98,
2021-01-20,Uttarakhand,1141,0,1141,UT,153,3,131,
2021-01-20,Karnataka,36705,0,36705,KA,501,4,665,
2021-01-20,Ladakh,66,0,66,LA,6,0,9,
2021-01-20,Gujarat,4877,0,4877,GJ,490,2,707,
2021-01-20,Rajasthan,13146,0,13146,RJ,213,2,438,
2021-01-20,Telangana,11291,0,11291,TG,267,2,351,
2021-01-20,Haryana,12354,0,12354,HR,105,4,204,
2021-01-20,Jharkhand,2258,0,2258,JH,125,0,170,
2021-01-20,Maharashtra,23880,0,23880,MH,3015,59,4589,
2021-01-20,Odisha,18568,0,18568,OR,157,0,270,
2021-01-20,Dadra and Nagar Haveli and Daman and Diu,31,0,31,DN,2,0,0,
2021-01-20,Andhra Pradesh,35901,0,35901,AP,173,0,196,
2021-01-20,Lakshadweep,629,0,629,LD,9,0,0,
2021-01-20,Himachal Pradesh,448,0,448,HP,63,0,72,
2021-01-20,Nagaland,1070,0,1070,NL,1,0,7,
2021-01-20,Tamil Nadu,9060,0,9060,TN,549,9,713,
2021-01-20,Goa,72,0,72,GA,87,0,84,
2021-01-20,Madhya Pradesh,27769,0,27769,MP,280,7,997,
2021-01-20,Kerala,5398,0,5398,KL,6815,18,7364,
2021-01-20,Punjab,2432,0,2432,PB,199,4,202,
2021-01-21,Rajasthan,13605,0,13605,RJ,265,2,406,
2021-01-21,Madhya Pradesh,38425,0,38425,MP,301,6,704,
2021-01-21,Andhra Pradesh,45040,0,45040,AP,139,0,254,
2021-01-21,India,365965,0,365965,TT,14495,161,17734,
2021-01-21,Telangana,17837,0,17837,TG,226,1,224,
2021-01-21,Puducherry,249,0,249,PY,35,0,32,
2021-01-21,Jharkhand,2258,0,2258,JH,67,1,136,
2021-01-21,Haryana,21411,0,21411,HR,133,3,185,
2021-01-21,Manipur,426,0,426,MN,19,0,43,
2021-01-21,Lakshadweep,724,0,724,LD,18,0,0,
2021-01-21,Uttarakhand,1874,0,1874,UT,162,4,283,
