,estimate
0,0.03602251926809161
1,-0.013501622015305323
2,-0.005109346382800038
3,-0.0017118288503522438
4,-0.00456538897844216
5,-0.012583669531933461
6,0.0024002235385685126
7,0.005112799251228708
8,0.0020952067666389854
9,0.0004961961752544184
10,0.014707526129556163
11,0.02186154224200156
12,-0.010424690681948658
13,0.0005976554006196717
14,0.0045689591219699064
15,0.02668129338096066
16,0.011666601255846024
17,0.005138036273152426
18,0.0006605481561243005
19,0.003451167216918714
20,-0.005835889460681591
21,0.0048737908289412995
22,0.020253119635706918
23,0.0016387568956924214
24,0.0447309419603027
25,-0.00023609822760683194
26,0.00022453058412739426
27,0.023971498824958526
28,-0.004895174858262289
29,0.02053641838848472
30,0.02902294858806021
31,0.010772675911461225
32,-0.0009574201165608856
33,-0.0002299624595655768
34,-0.0014334018301382263
35,-0.001912227328383437
36,0.00682154762695614
37,0.011403141973954485
38,0.002292651523932799
39,-0.0024366207613690147
40,0.0021512298940062915
41,-0.002648297685519368
42,-0.0034708048506704504
43,-0.004919818452449811
44,-0.005949647114852355
45,-0.000878584993933717
46,-0.003102419402856091
47,-0.0037399836146291723
48,0.003359982565945567
49,-0.0026594864793977237
50,-0.0022469364906214126
51,-0.004634820805343031
52,-0.0033876218725409366
53,-0.000387303615491785
54,-0.002168964656853224
55,0.01054103997643748
56,0.007673056345266559
57,-0.005919931856271109
58,-1.4331473263955581e-05
59,9.203413336479889e-06
60,-1.0970604265958791e-05
