term,estimate,pvalue
Intercept,0.023823799372476397,2.197449202723e-08
C(State)[T.AP],-0.007743121627700626,2.2444486822587663e-11
C(State)[T.AR],5.16384968327915e-05,0.939148794589453
C(State)[T.AS],-0.0004069908146541992,0.7207306872076276
C(State)[T.BR],-0.0021038256747346116,0.4221439040624295
C(State)[T.CH],-0.0009678459321671852,0.58413886876345
C(State)[T.CT],0.0027721315648482963,0.0005417909539985826
C(State)[T.DL],-0.0001567616189055215,0.9307323379617476
C(State)[T.DN],0.0009457437253290187,0.1494415169401793
C(State)[T.GJ],-0.004829354716963724,0.0015104130323900192
C(State)[T.HP],0.0007757183539973025,0.7557112796600447
C(State)[T.HR],-0.001677895176153989,0.140736928307032
C(State)[T.JH],-0.00019821732054993478,0.7891471697780446
C(State)[T.JK],-0.0037792609095261475,0.010669140518617242
C(State)[T.KA],1.7568732641177467e-05,0.9904841846914583
C(State)[T.KL],0.026644810187397904,1.3687483784278891e-09
C(State)[T.LA],-0.008304863862981654,0.021273850012079
C(State)[T.LD],0.001230719540824276,0.7171879441348715
C(State)[T.MH],0.010909142394263776,2.076223603291157e-17
C(State)[T.ML],0.00655033383463623,2.014518462767464e-08
C(State)[T.MN],0.011062544729872913,8.174187405317075e-24
C(State)[T.MP],-0.0035437684960355257,0.00034127110964712935
C(State)[T.MZ],-0.014837302138155688,0.007893069617383246
C(State)[T.NL],0.007132379365033224,1.143120444109328e-06
C(State)[T.OR],-0.0076342866788090165,3.6416768410659724e-13
C(State)[T.PB],0.03412586665439603,2.979851165847957e-36
C(State)[T.PY],-0.0031085907251678303,0.09455395564902692
C(State)[T.RJ],0.0016361154568714882,0.15263374098773608
C(State)[T.SK],0.00819922525381436,7.45613504312494e-08
C(State)[T.TN],-0.006530665865595262,9.177914907006147e-15
C(State)[T.TR],0.014407632747890541,1.1462803344874079e-14
C(State)[T.UP],0.008905583723233797,2.575648466521262e-05
C(State)[T.UT],0.0033063727077986054,0.07189140064537518
C(State)[T.WB],-0.0037002023402371237,4.936257036787384e-10
C(CalendarWeek)[T.2021-11-02/2021-11-08],-0.0027505931858697106,0.3230113250834946
C(CalendarWeek)[T.2021-11-09/2021-11-15],-0.0008012792337512559,0.8090780518243768
C(CalendarWeek)[T.2021-11-16/2021-11-22],0.0009710842239428934,0.8265311926041454
C(CalendarWeek)[T.2021-11-23/2021-11-29],0.00013425408106553676,0.9746452158052896
C(CalendarWeek)[T.2021-11-30/2021-12-06],-0.002877098735192386,0.431909837689068
C(CalendarWeek)[T.2021-12-07/2021-12-13],-0.00015911215605947295,0.9663264371613487
C(CalendarWeek)[T.2021-12-14/2021-12-20],0.001324986766602857,0.750310882600769
C(CalendarWeek)[T.2021-12-21/2021-12-27],-0.0008834278517131661,0.7903716672415331
C(CalendarWeek)[T.2021-12-28/2022-01-03],0.025945539602635223,0.002779129944142403
C(CalendarWeek)[T.2022-01-04/2022-01-10],0.04850187599215358,0.0024031180396369583
C(CalendarWeek)[T.2022-01-11/2022-01-17],0.028368746204213268,0.001525089016463145
C(CalendarWeek)[T.2022-01-18/2022-01-24],-0.0043186105565212836,0.3701342487717124
C(CalendarWeek)[T.2022-01-25/2022-01-31],-0.012194302887496584,0.00012819449932701055
C(CalendarWeek)[T.2022-02-01/2022-02-07],-0.013529811401453725,3.9795169340409426e-07
C(CalendarWeek)[T.2022-02-08/2022-02-14],-0.013366599104549723,2.9569491838622656e-07
C(CalendarWeek)[T.2022-02-15/2022-02-21],-0.012315742585652514,1.4347978453810064e-06
C(CalendarWeek)[T.2022-02-22/2022-02-28],-0.011522525594345358,5.147635843612734e-06
C(CalendarWeek)[T.2022-03-01/2022-03-07],-0.009612440883615684,6.703020251074431e-05
C(CalendarWeek)[T.2022-03-08/2022-03-14],-0.007561263817482083,0.0008339572079503259
C(CalendarWeek)[T.2022-03-15/2022-03-21],0.008287709669177343,0.5637051214969193
C(CalendarWeek)[T.2022-03-22/2022-03-28],-0.005524145689427225,0.03205602893150198
C(CalendarWeek)[T.2022-03-29/2022-04-04],-0.003544697782415946,0.09475391199529147
C(CalendarWeek)[T.2022-04-05/2022-04-11],-0.0020566639348091106,0.441318374313977
C(CalendarWeek)[T.2022-04-12/2022-04-18],0.0046855353739346595,0.29999241850986613
C(CalendarWeek)[T.2022-04-19/2022-04-25],0.021464293668464033,0.046814377108389045
PostWeek,-0.0030564861236962006,0.02339036156082487
Uptake270_per100,-1.644187630972748e-06,0.0003482897299907342
PostWeek:Uptake270_per100,4.0057376706616767e-07,0.08276372967974462
Cases_per100k,1.6537152450767967e-05,0.23518112526778442
