term,estimate,pvalue
Intercept,0.028588968346472683,0.004897120679401681
Post[T.True],0.024988057431037443,0.047099031451435125
C(State)[T.AP],-0.016009165411886822,2.3257398936040586e-07
C(State)[T.AR],-0.0051721034938584974,0.29923734311801137
C(State)[T.AS],-0.010718916722117111,6.963105941613199e-13
C(State)[T.BR],-0.02182857196624947,4.0179385603186777e-07
C(State)[T.CH],-0.010079481113965911,0.15792470117651755
C(State)[T.CT],0.010037117111342466,0.014237872072119987
C(State)[T.DL],0.008541198561665204,0.11788285241306337
C(State)[T.GJ],0.0004939108748075929,0.911769788696422
C(State)[T.HP],0.014109391309032117,0.08430930551439396
C(State)[T.HR],0.07519052429353133,1.0815621810131296e-17
C(State)[T.JH],-0.005742835345305259,0.013496037654354795
C(State)[T.JK],-0.007149431768009138,0.1388564874420042
C(State)[T.KA],-0.005221498919662698,0.21562311739475176
C(State)[T.KL],0.010952199972681445,0.413606849417689
C(State)[T.LA],-0.0035981990743191783,0.8176087319836882
C(State)[T.MH],-0.010112135958838055,0.0006761937171444372
C(State)[T.ML],-0.007419275013935349,0.0005251444202305946
C(State)[T.MN],-0.0028098316643743837,0.04932507600540926
C(State)[T.MP],-0.008469262525663594,0.08177880583980396
C(State)[T.MZ],-0.015990051003082976,0.415682183035441
C(State)[T.NL],0.015621528299818561,1.6882757662138616e-06
C(State)[T.OR],-0.013283329267731082,5.208593552499144e-06
C(State)[T.PB],0.07450049574516154,1.0656998725473507e-30
C(State)[T.PY],-0.0007147089069062384,0.8637810223341141
C(State)[T.RJ],0.013275965788418229,0.040489217866522494
C(State)[T.SK],0.01888973030446535,0.11919140345790841
C(State)[T.TN],-0.01787624077203997,3.86224827377887e-18
C(State)[T.TR],0.017535661968350963,0.09215100084138388
C(State)[T.UP],0.03265344764545226,1.423331845736076e-14
C(State)[T.UT],0.013059638167826671,0.023861194703889307
C(State)[T.WB],-0.011624838872379393,4.372307724095123e-09
C(CalendarWeek)[T.2021-08-10/2021-08-16],0.0009148687553434832,0.5861472366320907
C(CalendarWeek)[T.2021-08-17/2021-08-23],0.00992428136142271,0.2448831855417603
C(CalendarWeek)[T.2021-08-24/2021-08-30],0.009740013117715232,0.18237714768912258
C(CalendarWeek)[T.2021-08-31/2021-09-06],0.001626991949978946,0.7515863999628305
C(CalendarWeek)[T.2021-09-07/2021-09-13],0.017638206892232926,0.34721826603773065
C(CalendarWeek)[T.2021-09-14/2021-09-20],0.0032431817138606285,0.41743867338249596
C(CalendarWeek)[T.2021-09-21/2021-09-27],0.019897029291443886,0.3202905174710295
C(CalendarWeek)[T.2021-09-28/2021-10-04],0.0027351117482493567,0.31948834532698495
C(CalendarWeek)[T.2021-10-05/2021-10-11],0.0012744142906331271,0.6395278446814097
C(CalendarWeek)[T.2021-10-12/2021-10-18],0.000671721472065501,0.8223601477432203
C(CalendarWeek)[T.2021-10-19/2021-10-25],0.005470159967680764,0.12278915382970992
C(CalendarWeek)[T.2021-10-26/2021-11-01],-0.019166164873591535,0.0022304607705773464
C(CalendarWeek)[T.2021-11-02/2021-11-08],-0.015904894637724223,0.00768008104268287
C(CalendarWeek)[T.2021-11-09/2021-11-15],-0.01642569561169179,0.00033602504241234143
C(CalendarWeek)[T.2021-11-16/2021-11-22],-0.017384378046004005,0.0011425446762530812
C(CalendarWeek)[T.2021-11-23/2021-11-29],-0.013870450912514019,0.005571669323264308
C(CalendarWeek)[T.2021-11-30/2021-12-06],-0.022013292106531284,0.000434726248198598
C(CalendarWeek)[T.2021-12-07/2021-12-13],-0.018228399374391566,0.0011659427866471364
C(CalendarWeek)[T.2021-12-14/2021-12-20],-0.016009808857301057,0.01535341525167196
C(CalendarWeek)[T.2021-12-21/2021-12-27],-0.01935234398017103,0.00044484528329831425
C(CalendarWeek)[T.2021-12-28/2022-01-03],-0.003161700240963275,0.5084522596587946
C(CalendarWeek)[T.2022-01-04/2022-01-10],0.06375507511968799,0.003817677008932708
C(CalendarWeek)[T.2022-01-11/2022-01-17],0.10409338157310347,0.002140017230838185
C(CalendarWeek)[T.2022-01-18/2022-01-24],0.03753486012637812,0.002838899040612452
C(CalendarWeek)[T.2022-01-25/2022-01-31],-0.018878130747250508,0.00706951191778508
Uptake180_per100,-1.2538693130260342e-05,0.0365735227445659
Post[T.True]:Uptake180_per100,1.7089193974112546e-07,0.9755776731732073
Cases_per100k,1.709870349139374e-05,0.6731032349342234
