,estimate
0,0.02957761666221856
1,-0.0133941180874524
2,-0.002158882605125487
3,-0.00368960509708525
4,-0.006273327351299284
5,-0.005651365969508866
6,0.006551458434496041
7,0.005925874166856427
8,0.0008542395789816099
9,-0.0035225846094761697
10,-0.0019788401613359645
11,0.003049718031407479
12,0.004565074208535076
13,-0.009840984669530544
14,-0.0038455594670940276
15,0.019217916004479616
16,-0.018790060897213565
17,0.00011243216864027707
18,0.0082647051027796
19,0.0002718850294238464
20,0.00656336529777724
21,-0.004044651497509549
22,-0.02211626378307561
23,0.0030910161430010128
24,-0.013949962222318549
25,0.060437641315608456
26,0.0014363016574397095
27,0.006429329423743611
28,0.008065249328717446
29,-0.011756347061127315
30,0.01431739226477413
31,0.020484998946843722
32,0.006002982709377995
33,-0.0092085134018554
34,-0.0010962804011756385
35,-0.002169844333378528
36,0.0008805784720867652
37,-0.0038291681265017804
38,-0.00019414634370017343
39,0.002555544980799413
40,-0.0012838729822472106
41,0.015139510466074507
42,0.08335504690110956
43,0.12396442478817919
44,0.05571830122632263
45,-0.001611510559747573
46,-0.01242104978228601
47,-0.01398731454767743
48,-0.013307413587950057
49,-0.012668562356747959
50,-0.011503997613431197
51,-0.008819759459971137
52,0.008389614390163821
53,-0.007081932063137786
54,-0.006049626339327591
55,-0.004423370139613704
56,-0.0010773497891251624
57,0.017143568077383535
58,0.010701664644384093
59,-0.005045598494288048
60,-2.500781897862452e-06
61,7.232168750649524e-07
62,1.5894895642714887e-05
