State,WeekStart,New_Confirmed_wk,New_Deceased_wk,Cases_lag,CFR,CFR_wins,InfectionWeek,Population,Cases_per100k,rollout_date,post_start,post_end,Uptake270_per100,CalendarWeek,EventWeek,post_start_w,post_end_w,Post,PostWeek,PreWeek
AN,2022-01-31,138,0,407.0,0.0,0.0,2022-01-03,401000,34.413965087281795,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-01-25/2022-01-31,50,50,63,True,0,
AN,2022-02-07,66,0,496.0,0.0,0.0,2022-01-10,401000,16.458852867830426,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-02-01/2022-02-07,51,50,63,True,1,
AN,2022-02-14,24,0,720.0,0.0,0.0,2022-01-17,401000,5.985037406483791,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-02-08/2022-02-14,52,50,63,True,2,
AN,2022-02-21,12,0,411.0,0.0,0.0,2022-01-24,401000,2.9925187032418954,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-02-15/2022-02-21,53,50,63,True,3,
AN,2022-02-28,7,0,138.0,0.0,0.0,2022-01-31,401000,1.745635910224439,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-02-22/2022-02-28,54,50,63,True,4,
AP,2021-11-08,1737,18,3220.0,0.0055900621118012426,0.0055900621118012426,2021-10-11,52849000,3.2867225491494634,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-02/2021-11-08,38,50,63,False,0,0.0
AP,2021-11-15,1266,11,3105.0,0.003542673107890499,0.003542673107890499,2021-10-18,52849000,2.395504172264376,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-09/2021-11-15,39,50,63,False,0,1.0
AP,2021-11-22,1380,12,2873.0,0.004176818656456666,0.004176818656456666,2021-10-25,52849000,2.6112130787715944,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-16/2021-11-22,40,50,63,False,0,2.0
AP,2021-11-29,1106,14,1791.0,0.007816862088218872,0.007816862088218872,2021-11-01,52849000,2.0927548297981042,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-23/2021-11-29,41,50,63,False,0,3.0
AP,2021-12-06,1138,14,1737.0,0.008059873344847437,0.008059873344847437,2021-11-08,52849000,2.1533046982913584,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-30/2021-12-06,42,50,63,False,0,4.0
AP,2021-12-13,936,13,1266.0,0.010268562401263823,0.010268562401263823,2021-11-15,52849000,1.7710836534276901,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-12-07/2021-12-13,43,50,63,False,0,5.0
AP,2021-12-20,688,11,1380.0,0.007971014492753623,0.007971014492753623,2021-11-22,52849000,1.3018221726049688,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-12-14/2021-12-20,44,50,63,False,0,6.0
AP,2021-12-27,994,7,1106.0,0.006329113924050633,0.006329113924050633,2021-11-29,52849000,1.8808302900717135,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-12-21/2021-12-27,45,50,63,False,0,7.0
AP,2022-01-03,4373,8,1138.0,0.007029876977152899,0.007029876977152899,2021-12-06,52849000,8.27451796628129,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-12-28/2022-01-03,46,50,63,False,0,8.0
AP,2022-01-10,24421,5,936.0,0.005341880341880342,0.005341880341880342,2021-12-13,52849000,46.20901057730515,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-01-04/2022-01-10,47,50,63,False,0,9.0
