State,Window,Lag_days,Correlation
Andaman and Nicobar Islands,7,0,0.03806270325723867
Andaman and Nicobar Islands,7,7,0.059299821308811784
Andaman and Nicobar Islands,7,14,-0.0026559324653193223
Andaman and Nicobar Islands,7,21,-0.06038500300336812
Andaman and Nicobar Islands,7,28,-0.02325461936996512
Andhra Pradesh,7,0,-0.050891948848973495
Andhra Pradesh,7,7,-0.012313676784121026
Andhra Pradesh,7,14,-0.025763707079204806
Andhra Pradesh,7,21,-0.030123510631569633
Andhra Pradesh,7,28,-0.05932559623330013
Arunachal Pradesh,7,0,0.056831985212472486
Arunachal Pradesh,7,7,0.043515351426795454
Arunachal Pradesh,7,14,0.02329649376929367
Arunachal Pradesh,7,21,-0.02419142275230521
Arunachal Pradesh,7,28,-0.068310363675387
Assam,7,0,-0.019394244550427125
Assam,7,7,-0.038779054631176466
Assam,7,14,-0.050771162493532196
Assam,7,21,-0.04331728963987448
Assam,7,28,-0.016535467514233425
Bihar,7,0,0.028715242705576002
Bihar,7,7,0.041691847796228414
Bihar,7,14,0.03265722239346413
Bihar,7,21,0.012186264336828985
Bihar,7,28,-0.017046611687850877
Chandigarh,7,0,0.048109519275440986
Chandigarh,7,7,0.05735234956889057
Chandigarh,7,14,0.040560082267145324
Chandigarh,7,21,0.05231908491238961
Chandigarh,7,28,0.008836617392344278
Chhattisgarh,7,0,0.2656494328342963
Chhattisgarh,7,7,0.1628968857474048
Chhattisgarh,7,14,0.07604566277607115
Chhattisgarh,7,21,0.013149323103661617
Chhattisgarh,7,28,-0.13591657657101397
Dadra and Nagar Haveli and Daman and Diu,7,0,-0.004055290872401044
Dadra and Nagar Haveli and Daman and Diu,7,7,0.04123430255696593
Dadra and Nagar Haveli and Daman and Diu,7,14,0.022651648865133142
Dadra and Nagar Haveli and Daman and Diu,7,21,-0.033625067374319736
Dadra and Nagar Haveli and Daman and Diu,7,28,-0.05042627048509839
Delhi,7,0,0.03142913612796983
Delhi,7,7,0.03910277204188118
Delhi,7,14,-0.003221644042128647
Delhi,7,21,-0.007050169729478836
Delhi,7,28,-0.02787830878800912
Goa,7,0,0.02491379401953703
Goa,7,7,0.04433427251748178
Goa,7,14,0.00939550887972824
Goa,7,21,-0.016706502179103022
Goa,7,28,-0.07105034418246299
Gujarat,7,0,0.0239439776346445
Gujarat,7,7,0.025798643750378505
Gujarat,7,14,0.030417930698832932
Gujarat,7,21,0.019992615844242133
Gujarat,7,28,-0.003667817548032583
Haryana,7,0,0.05193574632676097
Haryana,7,7,0.06144670427551828
Haryana,7,14,0.08402894810655585
Haryana,7,21,0.07662491932338558
Haryana,7,28,0.0488111821244049
Himachal Pradesh,7,0,0.07637395082914569
Himachal Pradesh,7,7,0.06063015771726702
Himachal Pradesh,7,14,0.03292990428328912
Himachal Pradesh,7,21,0.024788386111758272
Himachal Pradesh,7,28,-0.017501666803264804
India,7,0,0.026707981556978178
India,7,7,0.018149087303418257
India,7,14,0.02071960646318908
India,7,21,-0.005057235435547632
India,7,28,-0.0287671464029481
Jammu and Kashmir,7,0,0.03807012477643949
Jammu and Kashmir,7,7,0.0449098111551335
Jammu and Kashmir,7,14,0.03758037468358745
Jammu and Kashmir,7,21,0.025213485191736062
Jammu and Kashmir,7,28,0.0005348793533671259
Jharkhand,7,0,0.057003590549507724
Jharkhand,7,7,0.06827119370161833
Jharkhand,7,14,0.07340990779031654
Jharkhand,7,21,0.06827274069084151
Jharkhand,7,28,0.030169765049410997
Karnataka,7,0,-0.015311318569491129
Karnataka,7,7,0.0009479572301275686
Karnataka,7,14,0.015218397689054452
Karnataka,7,21,0.006714524020334792
Karnataka,7,28,0.005206673999729342
Kerala,7,0,0.05952916608592641
Kerala,7,7,0.047031614929601624
Kerala,7,14,0.042444483269100566
Kerala,7,21,0.005550351169362638
Kerala,7,28,-0.010431451005635516
Ladakh,7,0,-0.11336747094290249
Ladakh,7,7,-0.001980680133544728
Ladakh,7,14,-0.016239569576709002
Ladakh,7,21,-0.0439936389925256
Ladakh,7,28,0.06410189885432147
Lakshadweep,7,0,-0.07830524485794596
Lakshadweep,7,7,0.04350281413424705
Lakshadweep,7,14,-0.020011513895950434
Lakshadweep,7,21,-0.045701678086693884
Lakshadweep,7,28,0.01918687181556809
Madhya Pradesh,7,0,0.044533245681785884
Madhya Pradesh,7,7,0.06033334346605025
Madhya Pradesh,7,14,0.034774337572058237
Madhya Pradesh,7,21,0.021939939514672758
Madhya Pradesh,7,28,-0.003094157826356841
Maharashtra,7,0,0.035478324801538126
Maharashtra,7,7,-0.020150424063367842
Maharashtra,7,14,-0.0381579302326492
Maharashtra,7,21,-0.06996640312274219
Maharashtra,7,28,-0.08350263059319112
Manipur,7,0,0.09730170806579548
Manipur,7,7,-0.037144272458263294
Manipur,7,14,-0.18635371305695
Manipur,7,21,-0.2582920431654898
Manipur,7,28,-0.30605818060264006
Meghalaya,7,0,0.07815071719143209
Meghalaya,7,7,0.035467825281662195
Meghalaya,7,14,-0.022422520836748505
Meghalaya,7,21,-0.051682719285384635
Meghalaya,7,28,-0.15799540878855045
